ID,ExpType,PatternDetected,TrialTime,CollisionCount,TotalPathLength,TimeIntervals_s,ErrorStart_Timeline_s,ErrorStart_Z_m
s1,No Haptic,True,97.516,20,105.35,8.860;6.760;2.040;0.280;1.400;1.480;2.440;2.140;1.920;0.780;0.400;0.940;0.580;1.780;0.580;1.080;1.700;2.260;2.520;1.060,0.120;18.960;28.200;30.981;33.181;37.401;40.781;44.541;47.821;55.041;59.201;59.961;63.061;64.821;71.280;74.340;80.459;85.498;88.717;92.636,0.319;10.879;16.347;17.911;19.708;23.042;25.797;29.796;34.687;43.817;49.838;50.973;55.518;57.978;67.363;71.548;80.198;87.357;91.260;95.011
s1,Haptic No Thermal,True,97.116,21,105.75,1.060;1.220;2.080;1.380;1.740;0.980;1.480;1.940;1.420;1.880;2.020;0.920;2.100;0.980;1.160;0.880;1.780;1.380;5.300;0.660;0.440,0.060;6.520;17.540;20.620;26.440;36.821;38.841;42.041;44.521;46.341;50.601;60.241;61.521;64.881;68.940;74.120;76.219;79.339;81.778;90.977;94.676,0.289;5.275;16.218;19.734;26.092;39.714;42.724;47.351;50.841;53.310;56.454;66.962;68.593;71.409;75.493;81.268;83.796;86.688;89.033;95.709;99.239
s1,Haptic Thermal,True,85.776,15,104.63,2.120;1.420;0.280;2.140;2.100;2.200;1.920;1.160;1.160;3.500;0.740;0.800;1.400;0.900;0.420,0.020;3.100;16.360;16.680;19.760;22.980;32.861;41.921;45.001;48.041;56.801;60.521;66.341;71.400;97.356,0.251;0.332;13.699;14.094;17.149;20.433;30.839;39.756;43.030;46.377;55.438;59.324;66.362;71.173;99.250
s2,No Haptic,True,74.959,25,106.94,0.780;1.300;3.420;1.660;1.760;0.480;0.480;1.300;0.160;1.480;0.860;0.780;0.440;1.040;2.320;1.760;1.340;1.560;1.040;0.760;0.960;2.100;0.740;1.100;0.120,2.260;9.600;11.220;15.000;17.880;20.700;23.220;24.460;30.661;35.901;39.061;40.721;43.621;44.881;47.081;52.401;56.981;62.181;63.921;65.561;67.481;68.900;71.540;73.100;74.839,2.345;11.014;12.746;16.946;19.186;22.597;25.978;27.969;36.627;44.599;48.949;51.069;55.644;57.801;60.939;68.614;75.509;82.385;85.036;87.211;89.477;91.486;95.130;97.080;99.586
s2,Haptic Thermal,False,73.000,14,105.58,0.240;2.120;0.700;1.480;5.380;9.740;2.500;6.680;4.960;2.480;1.460;11.220;4.160;1.660,0.020;0.600;6.860;8.040;10.380;17.040;28.200;32.061;39.361;45.821;51.081;53.961;66.121;71.340,0.260;0.554;7.273;8.805;11.307;18.764;34.925;40.522;51.570;60.823;68.697;72.868;89.321;96.967
s2,Haptic No Thermal,False,82.478,18,105.62,0.540;1.780;2.480;2.320;1.420;2.740;1.840;0.540;2.360;0.240;1.100;0.620;3.000;4.060;3.320;0.520;6.060;0.880,2.400;5.560;10.740;14.100;18.780;25.120;30.941;43.021;45.421;49.901;50.301;52.741;53.841;60.801;65.861;70.280;71.800;80.698,2.705;6.324;11.243;14.146;18.919;27.024;34.505;51.515;54.990;61.832;62.530;66.113;67.562;76.701;82.269;87.670;89.005;97.452
s3,Haptic No Thermal,True,91.037,16,104.23,1.300;1.300;0.980;0.920;0.560;0.280;2.100;0.820;0.280;1.220;0.780;0.680;0.400;0.240;0.700;0.380,0.260;17.600;21.120;29.440;34.101;45.321;57.681;61.421;62.321;65.201;70.360;75.939;77.879;79.199;84.218;89.537,0.314;14.629;17.129;24.863;30.082;43.849;60.278;65.043;66.151;69.096;75.526;81.558;84.045;85.757;91.522;97.867
s3,Haptic Thermal,True,105.654,14,104.55,0.300;1.040;0.480;1.840;0.520;0.740;0.500;0.640;0.900;0.580;0.040;1.560;1.660;1.340,1.240;4.200;6.840;13.140;17.980;29.320;30.741;44.161;58.421;61.001;86.298;87.957;96.236;101.335,0.792;3.108;5.310;10.936;14.743;25.821;27.637;41.732;55.460;58.037;82.007;83.510;90.877;95.684
s3,No Haptic,True,118.432,17,105.57,5.140;0.340;0.200;1.000;0.860;1.840;1.540;1.140;0.740;3.900;0.520;0.500;0.520;0.600;0.740;1.100;1.160,0.020;12.280;17.420;18.680;21.720;29.080;32.241;37.081;43.841;48.401;60.621;63.261;74.000;84.338;102.315;104.974;116.193,0.261;7.991;11.914;13.102;15.846;22.399;25.142;29.129;34.377;37.703;47.680;49.949;59.078;69.909;85.554;87.845;97.765
s4,Haptic No Thermal,True,126.651,20,108.12,1.060;0.360;13.260;1.320;4.220;3.060;1.000;8.040;3.760;2.640;2.740;2.580;2.880;2.520;0.840;1.000;0.780;6.380;9.560;5.220,2.040;11.520;14.880;33.621;36.621;42.781;49.441;59.361;68.780;73.440;78.139;82.538;86.018;91.597;95.556;97.996;100.375;102.255;110.414;121.432,1.247;9.832;13.189;21.095;23.278;27.318;32.333;44.952;53.203;57.229;61.865;66.369;69.004;74.293;77.674;79.689;81.508;83.366;89.226;96.319
